id;percentual_desconto;valor_final;data_criacao;forma_pagamento;estado
1;43616;36958;2022-04-21T13:49:07;PIX;CANCELADO
2;96585;42765;2022-04-21T01:13:48;PIX;PAGO
3;84490;25700;2022-04-20T18:51:14;CARTAO_DEBITO;PAGO
4;84564;18932;2022-04-21T08:19:41;PIX;CRIADO
5;5412;28443;2022-04-21T11:32:12;CARTAO_CREDITO;CANCELADO
6;818;68504;2022-04-20T23:26:40;PIX;CRIADO
7;32409;39079;2022-04-21T11:08:08;BOLETO;CRIADO
8;57167;25330;2022-04-20T20:49:07;BOLETO;CANCELADO
9;55547;69937;2022-04-21T14:20:25;CARTAO_CREDITO;PAGO
10;88884;31319;2022-04-20T23:51:16;PIX;EXPIRADO
