id;titulo;duracao_ch;descricao;valor;criacao
1;Goiás Alameda Rodovia;85631;Pizza invoice marinho;30269;2022-04-21T09:03:09
2;Upgradable Ilhas Grosso;78420;Liechtenstein hack generate;71505;2022-04-20T23:48:08
3;Multi-layered Pequeno;52059;Administrator leading;4445;2022-04-21T14:46:39
4;Borracha 6th;42153;neutral;57287;2022-04-20T19:10:31
5;Impressionante Toalhas auxiliary;21312;Queijo Solomon Industrial;67786;2022-04-21T04:25:16
6;matrices generation;94865;incentivize;62306;2022-04-21T04:10:17
7;Genérico Travessa Avon;28044;Avenida Inteligente;7618;2022-04-20T22:10:56
8;multi-byte;55095;Rodovia magnetic Algéria;48741;2022-04-21T04:06:43
9;Azerbaijanian Denar Eletrônicos;17833;Assistant;27927;2022-04-20T21:18:54
10;back-end systematic Legacy;60291;product access;6011;2022-04-21T12:52:43
